::1 - - [04/Apr/2022:19:06:13 +0000] "GET /api/locations HTTP/1.1" 200 2 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
::1 - - [04/Apr/2022:19:54:56 +0000] "OPTIONS /api/auth-owner/signin HTTP/1.1" 204 0 "http://localhost:3006/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36"
::1 - - [04/Apr/2022:19:55:06 +0000] "POST /api/auth-owner/signin HTTP/1.1" 401 49 "http://localhost:3006/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36"
::1 - - [04/Apr/2022:20:09:01 +0000] "POST /api/signup HTTP/1.1" 404 150 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:11:20 +0000] "POST /api/owners/signup HTTP/1.1" 404 157 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:13:58 +0000] "POST /api/owners/signup HTTP/1.1" 404 157 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:18:47 +0000] "POST /api/owners/signup HTTP/1.1" 404 157 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:25:00 +0000] "OPTIONS /api/auth-owner/signin HTTP/1.1" 204 0 "http://localhost:3006/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36"
::1 - - [04/Apr/2022:20:25:19 +0000] "POST /api/auth-owner/signin HTTP/1.1" 401 49 "http://localhost:3006/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36"
::1 - - [04/Apr/2022:20:40:45 +0000] "POST /api/auth-owner/signup HTTP/1.1" 200 7 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:42:01 +0000] "POST /api/auth-owner/signup HTTP/1.1" 200 7 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:42:06 +0000] "POST /api/auth-owner/signup HTTP/1.1" 200 7 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:43:18 +0000] "POST /api/auth-owner/signup HTTP/1.1" 500 82 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:44:24 +0000] "POST /api/auth-owner/signup HTTP/1.1" 200 227 "-" "PostmanRuntime/7.28.4"
::1 - - [04/Apr/2022:20:44:55 +0000] "OPTIONS /api/auth-owner/signin HTTP/1.1" 204 0 "http://localhost:3006/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36"
::1 - - [04/Apr/2022:20:44:56 +0000] "POST /api/auth-owner/signin HTTP/1.1" 200 351 "http://localhost:3006/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Mobile Safari/537.36"
